"filename", "language", "HTML", "pip requirements", "PostCSS", "MS SQL", "Python", "comment", "blank", "total"
"c:\Users\youce\OneDrive\Bureau\project\app.py", "Python", 0, 0, 0, 0, 1305, 91, 72, 1468
"c:\Users\youce\OneDrive\Bureau\project\elearn.db", "MS SQL", 0, 0, 0, 276, 0, 0, 33, 309
"c:\Users\youce\OneDrive\Bureau\project\requirements.txt", "pip requirements", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\youce\OneDrive\Bureau\project\static\app.css", "PostCSS", 0, 0, 1523, 0, 0, 94, 108, 1725
"c:\Users\youce\OneDrive\Bureau\project\templates\admin.html", "HTML", 209, 0, 0, 0, 0, 3, 16, 228
"c:\Users\youce\OneDrive\Bureau\project\templates\admin_ai_generate.html", "HTML", 78, 0, 0, 0, 0, 0, 4, 82
"c:\Users\youce\OneDrive\Bureau\project\templates\admin_course_form.html", "HTML", 222, 0, 0, 0, 0, 4, 18, 244
"c:\Users\youce\OneDrive\Bureau\project\templates\base.html", "HTML", 214, 0, 0, 0, 0, 1, 16, 231
"c:\Users\youce\OneDrive\Bureau\project\templates\certificates.html", "HTML", 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\youce\OneDrive\Bureau\project\templates\courses.html", "HTML", 82, 0, 0, 0, 0, 1, 6, 89
"c:\Users\youce\OneDrive\Bureau\project\templates\dashboard.html", "HTML", 138, 0, 0, 0, 0, 0, 9, 147
"c:\Users\youce\OneDrive\Bureau\project\templates\exam.html", "HTML", 187, 0, 0, 0, 0, 0, 13, 200
"c:\Users\youce\OneDrive\Bureau\project\templates\landing.html", "HTML", 596, 0, 0, 0, 0, 4, 79, 679
"c:\Users\youce\OneDrive\Bureau\project\templates\leaderboard.html", "HTML", 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\youce\OneDrive\Bureau\project\templates\lesson.html", "HTML", 252, 0, 0, 0, 0, 7, 19, 278
"c:\Users\youce\OneDrive\Bureau\project\templates\login.html", "HTML", 117, 0, 0, 0, 0, 2, 10, 129
"c:\Users\youce\OneDrive\Bureau\project\templates\notes.html", "HTML", 118, 0, 0, 0, 0, 2, 7, 127
"c:\Users\youce\OneDrive\Bureau\project\templates\profile.html", "HTML", 111, 0, 0, 0, 0, 0, 7, 118
"c:\Users\youce\OneDrive\Bureau\project\templates\quiz.html", "HTML", 226, 0, 0, 0, 0, 3, 18, 247
"c:\Users\youce\OneDrive\Bureau\project\templates\register.html", "HTML", 107, 0, 0, 0, 0, 0, 9, 116
"c:\Users\youce\OneDrive\Bureau\project\templates\settings.html", "HTML", 171, 0, 0, 0, 0, 4, 22, 197
"Total", "-", 2914, 3, 1523, 276, 1305, 216, 474, 6711
